# strain(%), strain_el(%), stress(GPa)
0.07040000 0.06688346 0.05195851
0.07080000 0.06889692 0.05351962
0.07120000 0.06919243 0.05374874
0.07160000 0.06868641 0.05335641
0.07200000 0.06871075 0.05337528
0.07240000 0.06903239 0.05362466
0.07280000 0.06906685 0.05365138
0.07320000 0.07318288 0.05684269
0.07360000 0.07399486 0.05747224
0.07400000 0.07390987 0.05740634
0.07440000 0.07109638 0.05522495
0.07480000 0.07149592 0.05553472
0.07520000 0.07194801 0.05588525
0.07560000 0.07597470 0.05900729
0.07600000 0.07668608 0.05955884
0.07640000 0.07699434 0.05979785
0.07680000 0.07661338 0.05950248
0.07720000 0.07399250 0.05747041
0.07760000 0.07424534 0.05766645
0.07800000 0.07485713 0.05814080
0.07840000 0.07468933 0.05801069
0.07880000 0.07547507 0.05861991
0.07920000 0.07607477 0.05908487
0.07960000 0.07642957 0.05935996
0.08000000 0.07666536 0.05954278
0.08040000 0.07696370 0.05977410
0.08080000 0.07749098 0.06018291
0.08120000 0.07802311 0.06059549
0.08160000 0.07843118 0.06091189
0.08200000 0.07872741 0.06114156
0.08240000 0.07913442 0.06145713
0.08280000 0.08307499 0.06451240
0.08320000 0.08312257 0.06454929
0.08360000 0.08358311 0.06490636
0.08400000 0.08379883 0.06507362
0.08440000 0.08122141 0.06307525
0.08480000 0.08150418 0.06329449
0.08520000 0.08194547 0.06363665
0.08560000 0.08349628 0.06483904
0.08600000 0.08398936 0.06522134
0.08640000 0.08416207 0.06535525
0.08680000 0.08344355 0.06479816
0.08720000 0.08383300 0.06510011
0.08760000 0.08433485 0.06548922
0.08800000 0.08450262 0.06561929
0.08840000 0.08490080 0.06592802
0.08880000 0.08570820 0.06655402
0.08920000 0.08601551 0.06679229
0.08960000 0.08630097 0.06701362
0.09000000 0.08670435 0.06732637
0.09040000 0.08718782 0.06770123
0.09080000 0.09122083 0.07082817
0.09120000 0.09193086 0.07137868
0.09160000 0.09136890 0.07094297
0.09200000 0.09181961 0.07129242
0.09240000 0.08917801 0.06924429
0.09280000 0.08956029 0.06954069
0.09320000 0.08988868 0.06979530
0.09360000 0.09021028 0.07004465
0.09400000 0.09061945 0.07036189
0.09440000 0.09112176 0.07075135
0.09480000 0.09168236 0.07118601
0.09520000 0.09196165 0.07140255
0.09560000 0.09223085 0.07161127
0.09600000 0.09240556 0.07174673
0.09640000 0.09627163 0.07474424
0.09680000 0.09680116 0.07515481
0.09720000 0.09717422 0.07544405
0.09760000 0.09750527 0.07570073
0.09800000 0.09476420 0.07357547
0.09840000 0.09510252 0.07383779
0.09880000 0.09540401 0.07407154
0.09920000 0.09567428 0.07428110
0.09960000 0.09623420 0.07471522
0.10000000 0.09662278 0.07501650
0.10040000 0.10030558 0.07787191
0.10080000 0.10063784 0.07812952
0.10120000 0.09780828 0.07593566
0.10160000 0.09811849 0.07617618
0.10200000 0.10193539 0.07913556
0.10240000 0.10222806 0.07936248
0.10280000 0.09926790 0.07706736
0.10320000 0.09974256 0.07743538
0.10360000 0.10013184 0.07773720
0.10400000 0.10084898 0.07829323
0.10440000 0.10094329 0.07836635
0.10480000 0.10134731 0.07867960
0.10520000 0.10198375 0.07917305
0.10560000 0.10213384 0.07928942
0.10600000 0.10276055 0.07977534
0.10640000 0.10649181 0.08266832
0.10680000 0.10691340 0.08299520
0.10720000 0.10762962 0.08355050
0.10760000 0.10423815 0.08092098
0.10800000 0.10475485 0.08132159
0.10840000 0.10498361 0.08149896
0.10880000 0.10556564 0.08195022
0.10920000 0.10587560 0.08219055
0.10960000 0.10944974 0.08496171
0.11000000 0.10993373 0.08533697
0.11040000 0.11026845 0.08559648
0.11080000 0.10758932 0.08351926
0.11120000 0.10780460 0.08368617
0.11160000 0.10804846 0.08387525
0.11200000 0.11188583 0.08685050
0.11240000 0.11219775 0.08709235
0.11280000 0.10938017 0.08490777
0.11320000 0.10964837 0.08511572
0.11360000 0.11010618 0.08547068
0.11400000 0.11067289 0.08591006
0.11440000 0.11099182 0.08615734
0.11480000 0.11113017 0.08626461
0.11520000 0.11158383 0.08661635
0.11560000 0.11203259 0.08696429
0.11600000 0.11322979 0.08789252
0.11640000 0.11279210 0.08755316
0.11680000 0.11701299 0.09082577
0.11720000 0.11707008 0.09087004
0.11760000 0.11753551 0.09123090
0.11800000 0.11447726 0.08885973
0.11840000 0.11499334 0.08925986
0.11880000 0.11544668 0.08961136
0.11920000 0.11573197 0.08983256
0.11960000 0.11594994 0.09000155
0.12000000 0.11640880 0.09035732
0.12040000 0.11690680 0.09074344
0.12080000 0.11720513 0.09097475
0.12120000 0.11760108 0.09128174
0.12160000 0.11844129 0.09193319
0.12200000 0.11856117 0.09202614
0.12240000 0.12271181 0.09524428
0.12280000 0.12268167 0.09522091
0.12320000 0.12310798 0.09555144
0.12360000 0.12012519 0.09323877
0.12400000 0.12051642 0.09354212
0.12440000 0.12097437 0.09389717
0.12480000 0.12132311 0.09416757
0.12520000 0.12503218 0.09704335
0.12560000 0.12590709 0.09772170
0.12600000 0.12606001 0.09784026
0.12640000 0.12650578 0.09818589
0.12680000 0.12668745 0.09832674
0.12720000 0.12351213 0.09586479
0.12760000 0.12406182 0.09629099
0.12800000 0.12457303 0.09668735
0.12840000 0.12490489 0.09694465
0.12880000 0.12511700 0.09710911
0.12920000 0.12536009 0.09729758
0.12960000 0.12603221 0.09781871
0.13000000 0.12642806 0.09812562
0.13040000 0.12686029 0.09846075
0.13080000 0.12736839 0.09885470
0.13120000 0.12770249 0.09911374
0.13160000 0.12798243 0.09933079
0.13200000 0.12854239 0.09976494
0.13240000 0.12876597 0.09993829
0.13280000 0.13277736 0.10304847
0.13320000 0.13300956 0.10322850
0.13360000 0.13351537 0.10362068
0.13400000 0.13376224 0.10381208
0.13440000 0.13113987 0.10177886
0.13480000 0.13156629 0.10210948
0.13520000 0.13178791 0.10228131
0.13560000 0.13197355 0.10242525
0.13600000 0.13588523 0.10545811
0.13640000 0.13641008 0.10586505
0.13680000 0.13686430 0.10621722
0.13720000 0.13371662 0.10377671
0.13760000 0.13414391 0.10410801
0.13800000 0.13459783 0.10445995
0.13840000 0.13830453 0.10733389
0.13880000 0.13864095 0.10759472
0.13920000 0.13918827 0.10801908
0.13960000 0.13628038 0.10576449
0.14000000 0.13646417 0.10590699
0.14040000 0.13689497 0.10624100
0.14080000 0.13720583 0.10648202
0.14120000 0.14624418 0.11348979
0.14160000 0.14742553 0.11440573
0.14200000 0.14826375 0.11505563
0.14240000 0.14863108 0.11534044
0.14280000 0.14896518 0.11559947
0.14320000 0.14588480 0.11321115
0.14360000 0.14639926 0.11361003
0.14400000 0.14036451 0.10893106
0.14440000 0.14073461 0.10921801
0.14480000 0.14113753 0.10953041
0.14520000 0.14157240 0.10986758
0.14560000 0.14202898 0.11022159
0.14600000 0.14266633 0.11071575
0.14640000 0.14293390 0.11092321
0.14680000 0.14661093 0.11377414
0.14720000 0.14693505 0.11402544
0.14760000 0.14700575 0.11408026
0.14800000 0.14438406 0.11204757
0.14840000 0.14469364 0.11228759
0.14880000 0.14528702 0.11274766
0.14920000 0.14571038 0.11307591
0.14960000 0.14579624 0.11314248
0.15000000 0.14630621 0.11353788
0.15040000 0.14683905 0.11395101
0.15080000 0.14706832 0.11412877
0.15120000 0.14752378 0.11448190
0.15160000 0.14811151 0.11493760
0.15200000 0.14822407 0.11502487
0.15240000 0.14880520 0.11547544
0.15280000 0.14909170 0.11569758
0.15320000 0.14961005 0.11609947
0.15360000 0.15013004 0.11650264
0.15400000 0.15417343 0.11963763
0.15440000 0.15404982 0.11954179
0.15480000 0.15498369 0.12026585
