# strain(%), energy_raw(eV), energy(eV)
0.37960000 -22367.47804122 0.06733337
0.38000000 -22367.47746950 0.06744933
0.38040000 -22367.47688266 0.06757994
0.38080000 -22367.47629202 0.06771386
0.38120000 -22367.47573035 0.06781832
0.38160000 -22367.47515342 0.06793757
0.38200000 -22367.47458145 0.06805139
0.38240000 -22367.47400397 0.06817023
0.38280000 -22367.47342289 0.06829219
0.38320000 -22367.47282566 0.06842982
0.38360000 -22367.47227909 0.06851631
0.38400000 -22367.47166003 0.06867480
0.38440000 -22367.47108672 0.06878708
0.38480000 -22367.47051973 0.06889255
0.38520000 -22367.46993639 0.06901389
0.38560000 -22367.46938921 0.06909859
0.38600000 -22367.46878498 0.06923986
0.38640000 -22367.46820488 0.06935652
0.38680000 -22367.46761640 0.06948108
0.38720000 -22367.46704814 0.06958494
0.38760000 -22367.46643180 0.06973640
0.38800000 -22367.46586974 0.06983309
0.38840000 -22367.46531259 0.06992441
0.38880000 -22367.46472498 0.07004570
0.38920000 -22367.46411512 0.07018876
0.38960000 -22367.46354114 0.07029546
0.39000000 -22367.46293295 0.07043589
0.39040000 -22367.46236094 0.07053965
0.39080000 -22367.46176240 0.07066948
0.39120000 -22367.46117841 0.07078426
0.39160000 -22367.46059740 0.07089560
0.39200000 -22367.46000499 0.07101785
0.39240000 -22367.45941167 0.07114053
0.39280000 -22367.45882368 0.07125740
0.39320000 -22367.45824365 0.07136582
0.39360000 -22367.45758727 0.07155012
0.39400000 -22367.45704916 0.07161568
0.39440000 -22367.45645739 0.07173441
0.39480000 -22367.45584896 0.07186931
0.39520000 -22367.45528483 0.07195945
0.39560000 -22367.45468185 0.07208794
0.39600000 -22367.45408486 0.07220997
0.39640000 -22367.45349295 0.07232645
0.39680000 -22367.45289899 0.07244448
0.39720000 -22367.45225632 0.07261076
0.39760000 -22367.45167962 0.07271058
0.39800000 -22367.45109481 0.07281803
0.39840000 -22367.45047886 0.07295614
0.39880000 -22367.44988493 0.07307175
0.39920000 -22367.44930372 0.07317416
0.39960000 -22367.44870458 0.07329402
0.40000000 -22367.44809180 0.07342704
0.40040000 -22367.44749823 0.07354037
0.40080000 -22367.44689833 0.07365955
0.40120000 -22367.44629184 0.07378483
0.40160000 -22367.44567947 0.07391553
0.40200000 -22367.44507222 0.07404062
0.40240000 -22367.44448194 0.07414826
0.40280000 -22367.44384916 0.07429792
0.40320000 -22367.44326977 0.07439371
0.40360000 -22367.44266499 0.07451440
0.40400000 -22367.44205301 0.07464182
0.40440000 -22367.44144866 0.07476114
0.40480000 -22367.44083320 0.07489108
0.40520000 -22367.44020816 0.07503012
0.40560000 -22367.43962872 0.07512308
0.40600000 -22367.43899008 0.07527476
0.40640000 -22367.43839612 0.07538127
0.40680000 -22367.43777849 0.07551098
0.40720000 -22367.43719522 0.07560586
0.40760000 -22367.43652849 0.07578371
0.40800000 -22367.43594597 0.07587686
0.40840000 -22367.43534764 0.07598535
0.40880000 -22367.43472861 0.07611407
0.40920000 -22367.43410387 0.07624801
0.40960000 -22367.43349995 0.07636065
0.41000000 -22367.43288788 0.07648096
0.41040000 -22367.43226038 0.07661622
0.41080000 -22367.43164569 0.07673819
0.41120000 -22367.43103755 0.07685313
