# strain(%), strain_el(%), stress(GPa)
0.07040000 0.07036461 0.05465757
0.07080000 0.07083770 0.05502438
0.07120000 0.07101194 0.05515947
0.07160000 0.07127832 0.05536601
0.07200000 0.07165091 0.05565489
0.07240000 0.07207715 0.05598537
0.07280000 0.07258203 0.05637682
0.07320000 0.07303080 0.05672477
0.07360000 0.07349171 0.05708214
0.07400000 0.07396249 0.05744714
0.07440000 0.07456221 0.05791213
0.07480000 0.07515563 0.05837223
0.07520000 0.07563624 0.05874487
0.07560000 0.07604987 0.05906557
0.07600000 0.07628312 0.05924641
0.07640000 0.07652988 0.05943774
0.07680000 0.07658709 0.05948209
0.07720000 0.07686040 0.05969400
0.07760000 0.07723177 0.05998194
0.07800000 0.07771235 0.06035455
0.07840000 0.07821006 0.06074044
0.07880000 0.07857359 0.06102230
0.07920000 0.07906036 0.06139971
0.07960000 0.07967073 0.06187295
0.08000000 0.08014200 0.06223835
0.08040000 0.08073117 0.06269515
0.08080000 0.08111180 0.06299027
0.08120000 0.08155084 0.06333067
0.08160000 0.08168688 0.06343615
0.08200000 0.08173841 0.06347610
0.08240000 0.08207411 0.06373638
0.08280000 0.08248732 0.06405676
0.08320000 0.08283849 0.06432904
0.08360000 0.08337157 0.06474235
0.08400000 0.08382722 0.06509563
0.08440000 0.08431870 0.06547670
0.08480000 0.08474476 0.06580703
0.08520000 0.08495291 0.06596842
0.08560000 0.08532236 0.06625487
0.08600000 0.08571930 0.06656263
0.08640000 0.08627162 0.06699087
0.08680000 0.08667758 0.06730562
0.08720000 0.08701274 0.06756548
0.08760000 0.08729610 0.06778518
0.08800000 0.08776139 0.06814594
0.08840000 0.08815328 0.06844979
0.08880000 0.08874945 0.06891202
0.08920000 0.08921211 0.06927074
0.08960000 0.08938931 0.06940813
0.09000000 0.08988664 0.06979372
0.09040000 0.09001007 0.06988942
0.09080000 0.09043626 0.07021986
0.09120000 0.09092112 0.07059579
0.09160000 0.09134613 0.07092532
0.09200000 0.09202638 0.07145274
0.09240000 0.09285783 0.07209740
0.09280000 0.09305618 0.07225118
0.09320000 0.09385386 0.07286965
0.09360000 0.09418025 0.07312272
0.09400000 0.09422316 0.07315599
0.09440000 0.09440489 0.07329688
0.09480000 0.09472813 0.07354750
0.09520000 0.09506990 0.07381249
0.09560000 0.09544246 0.07410136
0.09600000 0.09574654 0.07433711
0.09640000 0.09613340 0.07463706
0.09680000 0.09658446 0.07498678
0.09720000 0.09710411 0.07538969
0.09760000 0.09744849 0.07565670
0.09800000 0.09769676 0.07584919
0.09840000 0.09817090 0.07621681
0.09880000 0.09852306 0.07648985
0.09920000 0.09890412 0.07678530
0.09960000 0.09931626 0.07710485
0.10000000 0.09981575 0.07749213
0.10040000 0.10026270 0.07783866
0.10080000 0.10084153 0.07828745
0.10120000 0.10141285 0.07873042
0.10160000 0.10224242 0.07937361
0.10200000 0.10283503 0.07983308
0.10240000 0.10319491 0.08011211
0.10280000 0.10338052 0.08025602
0.10320000 0.10324137 0.08014814
0.10360000 0.10333924 0.08022402
0.10400000 0.10361154 0.08043514
0.10440000 0.10409677 0.08081136
0.10480000 0.10476523 0.08132964
0.10520000 0.10492351 0.08145236
0.10560000 0.10567782 0.08203720
0.10600000 0.10615439 0.08240670
0.10640000 0.10639091 0.08259009
0.10680000 0.10673676 0.08285824
0.10720000 0.10723273 0.08324278
0.10760000 0.10777940 0.08366663
0.10800000 0.10785807 0.08372763
0.10840000 0.10807976 0.08389952
0.10880000 0.10849813 0.08422389
0.10920000 0.10899805 0.08461149
0.10960000 0.10934594 0.08488123
0.11000000 0.10964625 0.08511407
0.11040000 0.11023044 0.08556701
0.11080000 0.11072718 0.08595215
0.11120000 0.11104166 0.08619599
0.11160000 0.11131933 0.08641127
0.11200000 0.11168244 0.08669281
0.11240000 0.11214915 0.08705466
0.11280000 0.11260414 0.08740743
0.11320000 0.11305228 0.08775489
0.11360000 0.11331235 0.08795653
0.11400000 0.11424627 0.08868064
0.11440000 0.11424515 0.08867977
0.11480000 0.11459892 0.08895406
0.11520000 0.11489352 0.08918247
0.11560000 0.11543354 0.08960117
0.11600000 0.11593819 0.08999244
0.11640000 0.11624310 0.09022885
0.11680000 0.11657590 0.09048689
0.11720000 0.11681378 0.09067132
0.11760000 0.11733435 0.09107494
0.11800000 0.11774899 0.09139642
0.11840000 0.11830216 0.09182531
0.11880000 0.11869085 0.09212668
0.11920000 0.11894873 0.09232662
0.11960000 0.11911390 0.09245469
0.12000000 0.11963267 0.09285690
0.12040000 0.12023157 0.09332126
0.12080000 0.12065726 0.09365131
0.12120000 0.12105033 0.09395607
