# strain(%), strain_el(%), stress(GPa)
0.07040000 0.07297926 0.05668481
0.07080000 0.07356223 0.05713681
0.07120000 0.07369232 0.05723767
0.07160000 0.07453079 0.05788777
0.07200000 0.07507966 0.05831333
0.07240000 0.07571456 0.05880559
0.07280000 0.07608714 0.05909446
0.07320000 0.07659628 0.05948922
0.07360000 0.07695126 0.05976444
0.07400000 0.07690796 0.05973088
0.07440000 0.07701407 0.05981315
0.07480000 0.07403155 0.05750069
0.07520000 0.07796310 0.06054897
0.07560000 0.07818187 0.06071858
0.07600000 0.07883496 0.06122495
0.07640000 0.07911018 0.06143834
0.07680000 0.07961444 0.06182931
0.07720000 0.07986439 0.06202310
0.07760000 0.08012367 0.06222413
0.07800000 0.08063597 0.06262134
0.07840000 0.08104912 0.06294167
0.07880000 0.08144161 0.06324598
0.07920000 0.08181379 0.06353454
0.07960000 0.08223046 0.06385760
0.08000000 0.08253075 0.06409043
0.08040000 0.08291778 0.06439051
0.08080000 0.08350470 0.06484557
0.08120000 0.08395871 0.06519758
0.08160000 0.08112049 0.06299700
0.08200000 0.08139949 0.06321332
0.08240000 0.08200354 0.06368166
0.08280000 0.08224670 0.06387020
0.08320000 0.08251046 0.06407470
0.08360000 0.08312853 0.06455391
0.08400000 0.08712422 0.06765192
0.08440000 0.08806568 0.06838186
0.08480000 0.08731354 0.06779871
0.08520000 0.08813837 0.06843822
0.08560000 0.08849627 0.06871572
0.08600000 0.08538710 0.06630506
0.08640000 0.08578401 0.06661281
0.08680000 0.08631753 0.06702646
0.08720000 0.08660732 0.06725114
0.08760000 0.08708988 0.06762529
0.08800000 0.09089746 0.07057745
0.08840000 0.09148261 0.07103114
0.08880000 0.09226729 0.07163953
0.08920000 0.08884525 0.06898629
0.08960000 0.08895332 0.06907009
0.09000000 0.08941205 0.06942575
0.09040000 0.08980049 0.06972693
0.09080000 0.09040202 0.07019332
0.09120000 0.09332627 0.07246060
0.09160000 0.09492428 0.07369959
0.09200000 0.09575635 0.07434472
0.09240000 0.09505027 0.07379727
0.09280000 0.09213687 0.07153841
0.09320000 0.09245486 0.07178495
0.09360000 0.09288846 0.07212115
0.09400000 0.09333629 0.07246836
0.09440000 0.09376928 0.07280407
0.09480000 0.09413408 0.07308692
0.09520000 0.09520109 0.07391421
0.09560000 0.09495598 0.07372416
0.09600000 0.09519663 0.07391075
0.09640000 0.09896506 0.07683255
0.09680000 0.09939465 0.07716563
0.09720000 0.10021201 0.07779936
0.09760000 0.10141080 0.07872882
0.09800000 0.10095687 0.07837687
0.09840000 0.10138140 0.07870603
0.09880000 0.10131575 0.07865513
0.09920000 0.10182528 0.07905018
0.09960000 0.10223552 0.07936826
0.10000000 0.10266609 0.07970209
0.10040000 0.10298642 0.07995046
0.10080000 0.10388370 0.08064615
0.10120000 0.10470353 0.08128180
0.10160000 0.10494600 0.08146979
0.10200000 0.10493288 0.08145962
0.10240000 0.10500794 0.08151782
0.10280000 0.10550205 0.08190092
0.10320000 0.10582447 0.08215090
0.10360000 0.10622473 0.08246124
0.10400000 0.10661601 0.08276461
0.10440000 0.10725877 0.08326297
0.10480000 0.10807562 0.08389630
0.10520000 0.10830379 0.08407321
0.10560000 0.10873564 0.08440805
0.10600000 0.10916508 0.08474100
0.10640000 0.10950229 0.08500246
0.10680000 0.10933522 0.08487292
0.10720000 0.10978107 0.08521861
0.10760000 0.11031602 0.08563337
0.10800000 0.10716743 0.08319215
0.10840000 0.10775691 0.08364920
0.10880000 0.10814053 0.08394663
0.10920000 0.10850750 0.08423116
0.10960000 0.10932709 0.08486661
0.11000000 0.10928408 0.08483327
0.11040000 0.10955222 0.08504117
0.11080000 0.11003310 0.08541401
0.11120000 0.11045884 0.08574410
0.11160000 0.11104397 0.08619777
0.11200000 0.11132694 0.08641717
0.11240000 0.11128363 0.08638359
0.11280000 0.11544110 0.08960703
0.11320000 0.11561064 0.08973848
0.11360000 0.11618346 0.09018261
0.11400000 0.11326591 0.08792052
0.11440000 0.11373734 0.08828604
0.11480000 0.11400395 0.08849275
0.11520000 0.11443678 0.08882834
0.11560000 0.11468087 0.08901760
0.11600000 0.11857035 0.09203325
0.11640000 0.11901020 0.09237429
0.11680000 0.11952820 0.09277591
0.11720000 0.11975838 0.09295437
0.11760000 0.11679605 0.09065757
0.11800000 0.11712408 0.09091190
0.11840000 0.11804581 0.09162655
0.11880000 0.11820371 0.09174899
0.11920000 0.11852181 0.09199562
0.11960000 0.11911023 0.09245184
0.12000000 0.11912839 0.09246592
0.12040000 0.11956169 0.09280188
0.12080000 0.11999635 0.09313889
0.12120000 0.12043574 0.09347956
0.12160000 0.12080390 0.09376501
0.12200000 0.12110525 0.09399865
0.12240000 0.12168092 0.09444499
0.12280000 0.12198054 0.09467730
0.12320000 0.12255619 0.09512362
0.12360000 0.12284628 0.09534854
0.12400000 0.12349249 0.09584957
0.12440000 0.12345544 0.09582084
0.12480000 0.12385369 0.09612962
0.12520000 0.12456595 0.09668186
0.12560000 0.12487993 0.09692530
0.12600000 0.12507204 0.09707425
0.12640000 0.12573171 0.09758572
0.12680000 0.12629052 0.09801898
0.12720000 0.12670129 0.09833747
0.12760000 0.12706687 0.09862092
0.12800000 0.12727744 0.09878418
0.12840000 0.12769147 0.09910519
0.12880000 0.12803717 0.09937322
0.12920000 0.12831354 0.09958751
0.12960000 0.12889770 0.10004042
0.13000000 0.12949390 0.10050268
0.13040000 0.12983345 0.10076595
0.13080000 0.13371858 0.10377823
0.13120000 0.13421490 0.10416305
0.13160000 0.13416079 0.10412110
0.13200000 0.13468442 0.10452708
0.13240000 0.13144334 0.10201416
0.13280000 0.13187196 0.10234648
0.13320000 0.13220605 0.10260551
0.13360000 0.13242903 0.10277839
0.13400000 0.13285257 0.10310678
0.13440000 0.13356860 0.10366195
0.13480000 0.13401975 0.10401174
0.13520000 0.13427095 0.10420651
0.13560000 0.13450313 0.10438652
0.13600000 0.13498539 0.10476044
0.13640000 0.13560115 0.10523785
0.13680000 0.13606035 0.10559389
0.13720000 0.13636866 0.10583294
0.13760000 0.13648343 0.10592192
0.13800000 0.13719709 0.10647524
0.13840000 0.13771917 0.10688003
0.13880000 0.13777453 0.10692296
0.13920000 0.13831689 0.10734347
0.13960000 0.13860155 0.10756417
0.14000000 0.13899738 0.10787107
0.14040000 0.13947635 0.10824244
0.14080000 0.13993643 0.10859916
0.14120000 0.14037977 0.10894289
0.14160000 0.14422061 0.11192084
0.14200000 0.14477117 0.11234771
0.14240000 0.14488030 0.11243232
