# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 0.00036049 0.00038082
0.00080000 0.00068580 0.00063304
0.00120000 0.00121353 0.00104221
0.00160000 0.00170870 0.00142613
0.00200000 0.00189199 0.00156825
0.00240000 0.00243566 0.00198978
0.00280000 0.00282505 0.00229168
0.00320000 0.00336339 0.00270908
0.00360000 0.00350400 0.00281810
0.00400000 0.00396412 0.00317484
0.00440000 0.00434208 0.00346789
0.00480000 0.00473277 0.00377081
0.00520000 0.00524391 0.00416711
0.00560000 0.00583534 0.00462567
0.00600000 0.00603346 0.00477928
0.00640000 0.00633302 0.00501154
0.00680000 0.00668360 0.00528335
0.00720000 0.00720430 0.00568707
0.00760000 0.00772930 0.00609413
0.00800000 0.00788728 0.00621661
0.00840000 0.00847904 0.00667543
0.00880000 0.00896298 0.00705064
0.00920000 0.00914960 0.00719534
0.00960000 0.00968712 0.00761210
0.01000000 0.00997722 0.00783702
0.01040000 0.01027653 0.00806909
0.01080000 0.01074365 0.00843126
0.01120000 0.01119182 0.00877875
0.01160000 0.01173047 0.00919638
0.01200000 0.01198649 0.00939488
0.01240000 0.01252449 0.00981201
0.01280000 0.01276754 0.01000046
0.01320000 0.01308795 0.01024888
0.01360000 0.01358527 0.01063447
0.01400000 0.01395837 0.01092376
0.01440000 0.01428816 0.01117945
0.01480000 0.01482923 0.01159896
0.01520000 0.01525898 0.01193216
0.01560000 0.01550037 0.01211932
0.01600000 0.01603706 0.01253543
0.01640000 0.01647754 0.01287696
0.01680000 0.01673082 0.01307333
0.01720000 0.01712171 0.01337641
0.01760000 0.01766274 0.01379589
0.01800000 0.01815739 0.01417941
0.01840000 0.01839453 0.01436327
0.01880000 0.01898535 0.01482135
0.01920000 0.01911217 0.01491969
0.01960000 0.01964585 0.01533346
0.02000000 0.01986291 0.01550176
0.02040000 0.02036953 0.01589456
0.02080000 0.02077540 0.01620924
0.02120000 0.02106711 0.01643542
0.02160000 0.02145717 0.01673785
0.02200000 0.02194846 0.01711876
0.02240000 0.02253962 0.01757711
0.02280000 0.02280027 0.01777920
0.02320000 0.02327761 0.01814930
0.02360000 0.02347220 0.01830018
0.02400000 0.02397337 0.01868875
0.02440000 0.02431356 0.01895251
0.02480000 0.02484822 0.01936705
0.02520000 0.02520447 0.01964327
0.02560000 0.02574214 0.02006014
0.02600000 0.02590166 0.02018383
0.02640000 0.02642015 0.02058583
0.02680000 0.02688166 0.02094365
0.02720000 0.02725747 0.02123504
0.02760000 0.02760183 0.02150203
0.02800000 0.02791789 0.02174708
0.02840000 0.02850901 0.02220540
0.02880000 0.02866894 0.02232939
0.02920000 0.02926031 0.02278791
0.02960000 0.02961918 0.02306616
