# strain(%), energy_raw(eV), energy(eV)
0.05520000 -22367.74527201 0.01167627
0.05560000 -22367.74520513 0.01167667
0.05600000 -22367.74512210 0.01169273
0.05640000 -22367.74500523 0.01174217
0.05680000 -22367.74493234 0.01174714
0.05720000 -22367.74485206 0.01175902
0.05760000 -22367.74477801 0.01176419
0.05800000 -22367.74466836 0.01180447
0.05840000 -22367.74462443 0.01177857
0.05880000 -22367.74452624 0.01180643
0.05920000 -22367.74445300 0.01180888
0.05960000 -22367.74435368 0.01183692
0.06000000 -22367.74426250 0.01185634
0.06040000 -22367.74419765 0.01184895
0.06080000 -22367.74410061 0.01187327
0.06120000 -22367.74401067 0.01189000
0.06160000 -22367.74392968 0.01189731
0.06200000 -22367.74385315 0.01189969
0.06240000 -22367.74374299 0.01193521
0.06280000 -22367.74362277 0.01198031
0.06320000 -22367.74355984 0.01196763
0.06360000 -22367.74346679 0.01198461
0.06400000 -22367.74339773 0.01197711
0.06440000 -22367.74328817 0.01200963
0.06480000 -22367.74318316 0.01203711
0.06520000 -22367.74311376 0.01202852
0.06560000 -22367.74301532 0.01204847
0.06600000 -22367.74292614 0.01205870
0.06640000 -22367.74283255 0.01207285
0.06680000 -22367.74272463 0.01210085
0.06720000 -22367.74261633 0.01212875
0.06760000 -22367.74252748 0.01213672
0.06800000 -22367.74243202 0.01215081
0.06840000 -22367.74232956 0.01217144
0.06880000 -22367.74223406 0.01218462
0.06920000 -22367.74212647 0.01220940
0.06960000 -22367.74204265 0.01220995
0.07000000 -22367.74192817 0.01224067
0.07040000 -22367.74177387 0.01231072
0.07080000 -22367.74170651 0.01229337
0.07120000 -22367.74160076 0.01231392
0.07160000 -22367.74151070 0.01231829
0.07200000 -22367.74139539 0.01234745
0.07240000 -22367.74131029 0.01234591
0.07280000 -22367.74120489 0.01236419
0.07320000 -22367.74108570 0.01239578
0.07360000 -22367.74097241 0.01242099
0.07400000 -22367.74088033 0.01242450
0.07440000 -22367.74076228 0.01245352
0.07480000 -22367.74066185 0.01246443
0.07520000 -22367.74055816 0.01247812
0.07560000 -22367.74046745 0.01247835
0.07600000 -22367.74032018 0.01253465
0.07640000 -22367.74023172 0.01253167
0.07680000 -22367.74011744 0.01255404
0.07720000 -22367.74001669 0.01256239
0.07760000 -22367.73987020 0.01261600
0.07800000 -22367.73977474 0.01261810
0.07840000 -22367.73967303 0.01262597
0.07880000 -22367.73952417 0.01268051
0.07920000 -22367.73941891 0.01269097
0.07960000 -22367.73931902 0.01269558
0.08000000 -22367.73919445 0.01272439
0.08040000 -22367.73906883 0.01275377
0.08080000 -22367.73894329 0.01278259
0.08120000 -22367.73884384 0.01278483
0.08160000 -22367.73870929 0.01282171
0.08200000 -22367.73861258 0.01282026
0.08240000 -22367.73850842 0.01282578
0.08280000 -22367.73835873 0.01287635
0.08320000 -22367.73824346 0.01289201
0.08360000 -22367.73812059 0.01291480
0.08400000 -22367.73799354 0.01294130
0.08440000 -22367.73786754 0.01296625
0.08480000 -22367.73776133 0.01297095
0.08520000 -22367.73763632 0.01299396
0.08560000 -22367.73748450 0.01304329
0.08600000 -22367.73738461 0.01304023
0.08640000 -22367.73725132 0.01307008
0.08680000 -22367.73712242 0.01309506
0.08720000 -22367.73698931 0.01312376
0.08760000 -22367.73688363 0.01312457
0.08800000 -22367.73673415 0.01316869
0.08840000 -22367.73661958 0.01317742
0.08880000 -22367.73646681 0.01322387
0.08920000 -22367.73634150 0.01324238
0.08960000 -22367.73623112 0.01324548
0.09000000 -22367.73609093 0.01327790
0.09040000 -22367.73596627 0.01329433
0.09080000 -22367.73583092 0.01332096
0.09120000 -22367.73567560 0.01336708
0.09160000 -22367.73554844 0.01338456
0.09200000 -22367.73543082 0.01339201
0.09240000 -22367.73527834 0.01343385
0.09280000 -22367.73512801 0.01347307
0.09320000 -22367.73500738 0.01348210
0.09360000 -22367.73487856 0.01349884
0.09400000 -22367.73474524 0.01351960
0.09440000 -22367.73458021 0.01357159
0.09480000 -22367.73445040 0.01358787
0.09520000 -22367.73432918 0.01359510
0.09560000 -22367.73416808 0.01364172
0.09600000 -22367.73403881 0.01365602
0.09640000 -22367.73388685 0.01369255
0.09680000 -22367.73376733 0.01369614
0.09720000 -22367.73360036 0.01374671
0.09760000 -22367.73347054 0.01375965
0.09800000 -22367.73328703 0.01382581
0.09840000 -22367.73314990 0.01384510
0.09880000 -22367.73301607 0.01386061
0.09920000 -22367.73286947 0.01388841
0.09960000 -22367.73272778 0.01391082
0.10000000 -22367.73258097 0.01393787
0.10040000 -22367.73242507 0.01397353
0.10080000 -22367.73229186 0.01398602
0.10120000 -22367.73213876 0.01401792
0.10160000 -22367.73197803 0.01405697
0.10200000 -22367.73183597 0.01407687
0.10240000 -22367.73167760 0.01411260
0.10280000 -22367.73153235 0.01413473
0.10320000 -22367.73137663 0.01416685
0.10360000 -22367.73121886 0.01420054
0.10400000 -22367.73106494 0.01422989
0.10440000 -22367.73091669 0.01425310
0.10480000 -22367.73076006 0.01428422
0.10520000 -22367.73058422 0.01433406
0.10560000 -22367.73045107 0.01434072
0.10600000 -22367.73029035 0.01437448
0.10640000 -22367.73011716 0.01442024
0.10680000 -22367.72996587 0.01444360
0.10720000 -22367.72982471 0.01445637
0.10760000 -22367.72965352 0.01449868
0.10800000 -22367.72947524 0.01454760
0.10840000 -22367.72932271 0.01457029
0.10880000 -22367.72916227 0.01460041
0.10920000 -22367.72900670 0.01462518
0.10960000 -22367.72884107 0.01465953
0.11000000 -22367.72868708 0.01468176
0.11040000 -22367.72854357 0.01469303
0.11080000 -22367.72835399 0.01474988
0.11120000 -22367.72821360 0.01475708
0.11160000 -22367.72800469 0.01483230
0.11200000 -22367.72787140 0.01483144
0.11240000 -22367.72769395 0.01487425
0.11280000 -22367.72752368 0.01490940
0.11320000 -22367.72735222 0.01494526
0.11360000 -22367.72720151 0.01495989
0.11400000 -22367.72702300 0.01500184
0.11440000 -22367.72685044 0.01503736
0.11480000 -22367.72668392 0.01506636
0.11520000 -22367.72648948 0.01512280
0.11560000 -22367.72633252 0.01514128
0.11600000 -22367.72613549 0.01519935
0.11640000 -22367.72598102 0.01521438
0.11680000 -22367.72581639 0.01523909
0.11720000 -22367.72562933 0.01528575
0.11760000 -22367.72547162 0.01530258
0.11800000 -22367.72532107 0.01531176
0.11840000 -22367.72510707 0.01538393
0.11880000 -22367.72493283 0.01541585
0.11920000 -22367.72475542 0.01545046
0.11960000 -22367.72458709 0.01547551
0.12000000 -22367.72441147 0.01550737
0.12040000 -22367.72421126 0.01556334
0.12080000 -22367.72405312 0.01557676
0.12120000 -22367.72387097 0.01561370
0.12160000 -22367.72366500 0.01567400
0.12200000 -22367.72349212 0.01570072
0.12240000 -22367.72331669 0.01572951
0.12280000 -22367.72314100 0.01575808
0.12320000 -22367.72293297 0.01581851
0.12360000 -22367.72276395 0.01583945
