# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 0.00066506 0.00061696
0.00080000 0.00380554 0.00305189
0.00120000 0.00441496 0.00352439
0.00160000 0.00497062 0.00395522
0.00200000 0.00563441 0.00446988
0.00240000 0.00564692 0.00447958
0.00280000 0.00532438 0.00422951
0.00320000 0.00553051 0.00438933
0.00360000 0.00586861 0.00465147
0.00400000 0.00646032 0.00511024
0.00440000 0.00675980 0.00534244
0.00480000 0.00721308 0.00569388
0.00520000 0.00734924 0.00579945
0.00560000 0.00772833 0.00609337
0.00600000 0.00801212 0.00631341
0.00640000 0.00865893 0.00681490
0.00680000 0.00634464 0.00502055
0.00720000 0.00682507 0.00539304
0.00760000 0.00695724 0.00549552
0.00800000 0.00875284 0.00688772
0.00840000 0.00896395 0.00705140
0.00880000 0.00917663 0.00721630
0.00920000 0.00970539 0.00762626
0.00960000 0.00925063 0.00727367
0.01000000 0.00977340 0.00767899
0.01040000 0.00971253 0.00763179
0.01080000 0.01013553 0.00795976
0.01120000 0.01162512 0.00911470
0.01160000 0.01099504 0.00862618
0.01200000 0.01475744 0.01154331
0.01240000 0.01574030 0.01230535
0.01280000 0.01626727 0.01271393
0.01320000 0.01624139 0.01269386
0.01360000 0.01591612 0.01244167
0.01400000 0.01617690 0.01264386
0.01440000 0.01653297 0.01291993
0.01480000 0.01704181 0.01331445
0.01520000 0.01745822 0.01363732
0.01560000 0.01774903 0.01386279
0.01600000 0.01837068 0.01434478
0.01640000 0.01913562 0.01493787
0.01680000 0.02003412 0.01563450
0.01720000 0.02027164 0.01581866
0.01760000 0.02059427 0.01606881
0.01800000 0.01736649 0.01356620
0.01840000 0.01783559 0.01392990
0.01880000 0.01825404 0.01425434
0.01920000 0.01849020 0.01443745
0.01960000 0.01889530 0.01475154
0.02000000 0.01993958 0.01556120
0.02040000 0.02050783 0.01600179
0.02080000 0.02126750 0.01659079
0.02120000 0.02356576 0.01837272
0.02160000 0.02388689 0.01862170
0.02200000 0.02399777 0.01870767
0.02240000 0.02438806 0.01901028
0.02280000 0.02547104 0.01984995
0.02320000 0.02657530 0.02070612
0.02360000 0.02652555 0.02066755
0.02400000 0.02640397 0.02057329
0.02440000 0.02641546 0.02058219
0.02480000 0.02683269 0.02090568
0.02520000 0.02742090 0.02136175
0.02560000 0.02779397 0.02165100
0.02600000 0.02828297 0.02203014
0.02640000 0.02925925 0.02278709
0.02680000 0.03018882 0.02350781
0.02720000 0.03066399 0.02387624
0.02760000 0.03079052 0.02397433
0.02800000 0.03056583 0.02380013
0.02840000 0.03054705 0.02378556
0.02880000 0.03097748 0.02411929
0.02920000 0.03136896 0.02442282
0.02960000 0.03174400 0.02471360
0.03000000 0.03218969 0.02505917
0.03040000 0.03263016 0.02540067
0.03080000 0.03323084 0.02586641
0.03120000 0.03383003 0.02633098
0.03160000 0.03455494 0.02689303
0.03200000 0.03564398 0.02773740
0.03240000 0.03591169 0.02794497
0.03280000 0.03619136 0.02816181
0.03320000 0.03632074 0.02826212
0.03360000 0.03613081 0.02811486
0.03400000 0.03613912 0.02812130
0.03440000 0.03643959 0.02835427
0.03480000 0.03688430 0.02869907
0.03520000 0.03741633 0.02911157
0.03560000 0.03831930 0.02981168
0.03600000 0.03936838 0.03062506
0.03640000 0.04004192 0.03114728
0.03680000 0.03994346 0.03107095
