# strain(%), energy_raw(eV), energy(eV)
0.00000100 -22367.76140379 0.00011505
0.00040000 -22367.76136626 0.00015233
0.00080000 -22367.76137934 0.00013854
0.00120000 -22367.76134297 0.00017371
0.00160000 -22367.76133882 0.00017618
0.00200000 -22367.76128455 0.00022829
0.00240000 -22367.76126264 0.00024756
0.00280000 -22367.76126810 0.00023898
0.00320000 -22367.76123749 0.00026599
0.00360000 -22367.76123232 0.00026708
0.00400000 -22367.76119201 0.00030283
0.00440000 -22367.76115626 0.00033354
0.00480000 -22367.76115837 0.00032590
0.00520000 -22367.76111355 0.00036472
0.00560000 -22367.76108189 0.00038990
0.00600000 -22367.76104574 0.00041910
0.00640000 -22367.76103984 0.00041756
0.00680000 -22367.76099664 0.00045284
0.00720000 -22367.76098286 0.00045822
0.00760000 -22367.76092502 0.00050718
0.00800000 -22367.76094268 0.00048016
0.00840000 -22367.76091402 0.00049898
0.00880000 -22367.76085527 0.00054741
0.00920000 -22367.76081955 0.00057233
0.00960000 -22367.76079007 0.00059053
0.01000000 -22367.76075272 0.00061612
0.01040000 -22367.76072389 0.00063271
0.01080000 -22367.76067737 0.00066650
0.01120000 -22367.76065271 0.00067797
0.01160000 -22367.76063025 0.00068675
0.01200000 -22367.76058647 0.00071637
0.01240000 -22367.76054010 0.00074810
0.01280000 -22367.76049269 0.00078038
0.01320000 -22367.76045622 0.00080126
0.01360000 -22367.76044710 0.00079430
0.01400000 -22367.76039423 0.00083061
0.01440000 -22367.76034881 0.00085899
0.01480000 -22367.76030813 0.00088214
0.01520000 -22367.76027053 0.00090175
0.01560000 -22367.76022984 0.00092396
0.01600000 -22367.76014420 0.00099063
0.01640000 -22367.76014776 0.00096764
0.01680000 -22367.76010422 0.00099126
0.01720000 -22367.76005055 0.00102453
0.01760000 -22367.76000570 0.00104849
0.01800000 -22367.75997391 0.00105893
0.01840000 -22367.75990287 0.00110813
0.01880000 -22367.75985778 0.00113090
0.01920000 -22367.75982122 0.00114466
0.01960000 -22367.75977546 0.00116714
0.02000000 -22367.75971536 0.00120348
0.02040000 -22367.75967246 0.00122214
0.02080000 -22367.75962044 0.00124944
0.02120000 -22367.75956439 0.00128028
0.02160000 -22367.75955769 0.00126131
0.02200000 -22367.75948317 0.00130967
0.02240000 -22367.75941152 0.00135468
0.02280000 -22367.75936668 0.00137240
0.02320000 -22367.75931051 0.00140097
0.02360000 -22367.75925848 0.00142492
0.02400000 -22367.75920872 0.00144612
0.02440000 -22367.75916518 0.00146062
0.02480000 -22367.75909892 0.00149736
0.02520000 -22367.75903560 0.00153068
0.02560000 -22367.75898505 0.00155075
0.02600000 -22367.75889570 0.00160914
0.02640000 -22367.75886583 0.00160757
0.02680000 -22367.75881495 0.00162653
0.02720000 -22367.75876052 0.00164856
0.02760000 -22367.75867702 0.00169918
0.02800000 -22367.75863817 0.00170467
0.02840000 -22367.75857395 0.00173505
0.02880000 -22367.75850215 0.00177253
0.02920000 -22367.75841872 0.00182116
0.02960000 -22367.75836686 0.00183774
0.03000000 -22367.75833545 0.00183339
0.03040000 -22367.75823930 0.00189329
0.03080000 -22367.75817863 0.00191725
0.03120000 -22367.75810697 0.00195171
0.03160000 -22367.75805972 0.00196128
0.03200000 -22367.75797915 0.00200369
0.03240000 -22367.75788835 0.00205585
0.03280000 -22367.75782222 0.00208286
0.03320000 -22367.75776810 0.00209738
0.03360000 -22367.75769464 0.00213076
0.03400000 -22367.75764421 0.00214062
0.03440000 -22367.75756082 0.00218297
0.03480000 -22367.75748052 0.00222176
0.03520000 -22367.75741137 0.00224891
0.03560000 -22367.75733229 0.00228551
0.03600000 -22367.75726610 0.00230874
0.03640000 -22367.75720229 0.00232911
0.03680000 -22367.75712904 0.00235844
0.03720000 -22367.75705223 0.00239085
0.03760000 -22367.75699762 0.00240058
0.03800000 -22367.75690088 0.00245196
0.03840000 -22367.75680994 0.00249705
0.03880000 -22367.75672441 0.00253627
0.03920000 -22367.75664372 0.00257016
0.03960000 -22367.75658340 0.00258319
0.04000000 -22367.75651882 0.00260002
0.04040000 -22367.75642647 0.00264413
0.04080000 -22367.75632811 0.00269377
0.04120000 -22367.75625723 0.00271545
0.04160000 -22367.75619112 0.00273188
0.04200000 -22367.75610434 0.00276850
0.04240000 -22367.75600925 0.00281295
0.04280000 -22367.75592830 0.00284278
0.04320000 -22367.75583140 0.00288808
0.04360000 -22367.75577917 0.00288823
0.04400000 -22367.75568100 0.00293384
0.04440000 -22367.75558723 0.00297457
0.04480000 -22367.75551021 0.00299806
0.04520000 -22367.75541817 0.00303611
0.04560000 -22367.75531656 0.00308324
0.04600000 -22367.75523499 0.00310984
0.04640000 -22367.75516736 0.00312204
0.04680000 -22367.75505634 0.00317714
0.04720000 -22367.75497426 0.00320282
0.04760000 -22367.75487749 0.00324270
0.04800000 -22367.75477607 0.00328677
0.04840000 -22367.75469345 0.00331155
0.04880000 -22367.75460714 0.00333954
0.04920000 -22367.75450799 0.00337989
0.04960000 -22367.75440406 0.00342453
