# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 0.00230773 0.00189058
0.00080000 0.00258424 0.00210498
0.00120000 0.00308159 0.00249059
0.00160000 0.00338157 0.00272318
0.00200000 0.00460409 0.00367104
0.00240000 0.00518779 0.00412360
0.00280000 0.00528610 0.00419982
0.00320000 0.00511244 0.00406518
0.00360000 0.00378491 0.00303590
0.00400000 0.00433644 0.00346352
0.00440000 0.00464700 0.00370431
0.00480000 0.00414347 0.00331391
0.00520000 0.00711276 0.00561610
0.00560000 0.00823632 0.00648724
0.00600000 0.00890502 0.00700571
0.00640000 0.00526488 0.00418337
0.00680000 0.00716255 0.00565471
0.00720000 0.00645259 0.00510425
0.00760000 0.00681599 0.00538600
0.00800000 0.00717372 0.00566336
0.00840000 0.00882411 0.00694297
0.00880000 0.00811887 0.00639618
0.00920000 0.01158411 0.00908290
0.00960000 0.01106725 0.00868216
0.01000000 0.00973095 0.00764608
0.01040000 0.00935976 0.00735828
0.01080000 0.00996082 0.00782430
0.01120000 0.01184798 0.00928749
0.01160000 0.01285436 0.01006778
0.01200000 0.01448293 0.01133046
0.01240000 0.01488662 0.01164346
0.01280000 0.01471163 0.01150778
0.01320000 0.01500524 0.01173543
0.01360000 0.01269036 0.00994062
0.01400000 0.01306071 0.01022776
0.01440000 0.01351937 0.01058338
0.01480000 0.01686938 0.01318076
0.01520000 0.01793551 0.01400737
0.01560000 0.01793555 0.01400741
0.01600000 0.01780613 0.01390706
0.01640000 0.01517151 0.01186434
0.01680000 0.01687889 0.01318814
0.01720000 0.01750489 0.01367350
0.01760000 0.01746978 0.01364628
0.01800000 0.01627829 0.01272247
0.01840000 0.01956164 0.01526817
0.01880000 0.01658996 0.01296412
0.01920000 0.02004428 0.01564238
0.01960000 0.02048397 0.01598329
0.02000000 0.01831239 0.01429959
0.02040000 0.01916127 0.01495775
0.02080000 0.01944585 0.01517840
0.02120000 0.01896114 0.01480259
0.02160000 0.01896885 0.01480857
0.02200000 0.01998607 0.01559725
0.02240000 0.02016477 0.01573580
0.02280000 0.02354519 0.01835677
0.02320000 0.02415954 0.01883310
0.02360000 0.02515364 0.01960386
0.02400000 0.02268758 0.01769183
0.02440000 0.02228277 0.01737797
0.02480000 0.02271125 0.01771018
0.02520000 0.02292318 0.01787450
0.02560000 0.02337242 0.01822281
0.02600000 0.02347484 0.01830222
0.02640000 0.02438113 0.01900490
0.02680000 0.02442956 0.01904245
0.02720000 0.02549514 0.01986864
0.02760000 0.02920383 0.02274411
0.02800000 0.02979231 0.02320039
0.02840000 0.03039229 0.02366558
0.02880000 0.03050060 0.02374955
0.02920000 0.03048036 0.02373385
0.02960000 0.02726045 0.02123734
0.03000000 0.02794790 0.02177034
0.03040000 0.02891639 0.02252125
0.03080000 0.02879388 0.02242626
0.03120000 0.02905582 0.02262936
0.03160000 0.02997194 0.02333966
0.03200000 0.03293619 0.02563795
0.03240000 0.03331361 0.02593058
0.03280000 0.03344677 0.02603383
0.03320000 0.03120068 0.02429235
0.03360000 0.03239707 0.02521995
0.03400000 0.03259477 0.02537324
0.03440000 0.03549716 0.02762357
0.03480000 0.03614424 0.02812527
0.03520000 0.03585092 0.02789785
0.03560000 0.03634361 0.02827985
0.03600000 0.03377252 0.02628639
0.03640000 0.03423747 0.02664688
0.03680000 0.03429191 0.02668909
0.03720000 0.03875632 0.03015051
0.03760000 0.03838615 0.02986350
0.03800000 0.03877541 0.03016531
0.03840000 0.03621644 0.02818125
0.03880000 0.03705268 0.02882962
0.03920000 0.04115605 0.03201111
0.03960000 0.04125801 0.03209016
0.04000000 0.04072242 0.03167490
0.04040000 0.04117348 0.03202462
0.04080000 0.04152938 0.03230057
0.04120000 0.04335430 0.03371550
0.04160000 0.04390505 0.03414251
0.04200000 0.04419230 0.03436523
0.04240000 0.04460276 0.03468347
0.04280000 0.05334955 0.04146518
0.04320000 0.05396975 0.04194604
0.04360000 0.05208951 0.04048822
0.04400000 0.05301884 0.04120877
0.04440000 0.05891240 0.04577826
0.04480000 0.05925543 0.04604423
0.04520000 0.06122613 0.04757218
0.04560000 0.06201768 0.04818590
0.04600000 0.06109552 0.04747091
0.04640000 0.06187727 0.04807703
0.04680000 0.06103655 0.04742519
0.04720000 0.06333193 0.04920488
0.04760000 0.06367671 0.04947220
0.04800000 0.06415620 0.04984397
0.04840000 0.06462571 0.05020800
0.04880000 0.06286815 0.04884530
0.04920000 0.06422286 0.04989566
0.04960000 0.06464318 0.05022155
0.05000000 0.06613333 0.05137691
0.05040000 0.06642195 0.05160069
0.05080000 0.06682036 0.05190959
0.05120000 0.06732118 0.05229789
0.05160000 0.06585007 0.05115729
0.05200000 0.06586481 0.05116872
0.05240000 0.06667573 0.05179745
0.05280000 0.06898493 0.05358786
0.05320000 0.06907810 0.05366010
