# strain(%), energy_raw(eV), energy(eV)
0.00000100 -22367.75074265 0.01077619
0.00040000 -22367.75075704 0.01076156
0.00080000 -22367.75074672 0.01077116
0.00120000 -22367.75074161 0.01077507
0.00160000 -22367.75073564 0.01077936
0.00200000 -22367.75074526 0.01076757
0.00240000 -22367.75075304 0.01075716
0.00280000 -22367.75074224 0.01076484
0.00320000 -22367.75072530 0.01077818
0.00360000 -22367.75074488 0.01075452
0.00400000 -22367.75072563 0.01076921
0.00440000 -22367.75072135 0.01076845
0.00480000 -22367.75071819 0.01076609
0.00520000 -22367.75069889 0.01077939
0.00560000 -22367.75070232 0.01076948
0.00600000 -22367.75068706 0.01077778
0.00640000 -22367.75067556 0.01078184
0.00680000 -22367.75066849 0.01078098
0.00720000 -22367.75063714 0.01080394
0.00760000 -22367.75065400 0.01077820
0.00800000 -22367.75063933 0.01078351
0.00840000 -22367.75061399 0.01079901
0.00880000 -22367.75060402 0.01079866
0.00920000 -22367.75059704 0.01079484
0.00960000 -22367.75056356 0.01081703
0.01000000 -22367.75057060 0.01079824
0.01040000 -22367.75054946 0.01080714
0.01080000 -22367.75054366 0.01080022
0.01120000 -22367.75052419 0.01080649
0.01160000 -22367.75051226 0.01080474
0.01200000 -22367.75048516 0.01081768
0.01240000 -22367.75046115 0.01082705
0.01280000 -22367.75046155 0.01081153
0.01320000 -22367.75044999 0.01080749
0.01360000 -22367.75040867 0.01083273
0.01400000 -22367.75038506 0.01083978
0.01440000 -22367.75035891 0.01084888
0.01480000 -22367.75036819 0.01082208
0.01520000 -22367.75030965 0.01086262
0.01560000 -22367.75031109 0.01084271
0.01600000 -22367.75028178 0.01085305
0.01640000 -22367.75027140 0.01084400
0.01680000 -22367.75021948 0.01087600
0.01720000 -22367.75021123 0.01086384
0.01760000 -22367.75019803 0.01085617
0.01800000 -22367.75015826 0.01087458
0.01840000 -22367.75013017 0.01088082
0.01880000 -22367.75009332 0.01089536
0.01920000 -22367.75005986 0.01090601
0.01960000 -22367.75002978 0.01091282
0.02000000 -22367.75000327 0.01091557
0.02040000 -22367.74997819 0.01091641
0.02080000 -22367.74996512 0.01090476
0.02120000 -22367.74992316 0.01092152
0.02160000 -22367.74989096 0.01092803
0.02200000 -22367.74985288 0.01093995
0.02240000 -22367.74982035 0.01094584
0.02280000 -22367.74979395 0.01094512
0.02320000 -22367.74974271 0.01096877
0.02360000 -22367.74972504 0.01095836
0.02400000 -22367.74965360 0.01100124
0.02440000 -22367.74962913 0.01099667
0.02480000 -22367.74959670 0.01099958
0.02520000 -22367.74957552 0.01099076
0.02560000 -22367.74952084 0.01101495
0.02600000 -22367.74948115 0.01102369
0.02640000 -22367.74943754 0.01103586
0.02680000 -22367.74941833 0.01102315
0.02720000 -22367.74936065 0.01104843
0.02760000 -22367.74933418 0.01104202
0.02800000 -22367.74928676 0.01105608
0.02840000 -22367.74922358 0.01108542
0.02880000 -22367.74919736 0.01107732
0.02920000 -22367.74915396 0.01108592
0.02960000 -22367.74909925 0.01110534
0.03000000 -22367.74906367 0.01110517
0.03040000 -22367.74900880 0.01112380
0.03080000 -22367.74896608 0.01112980
0.03120000 -22367.74891238 0.01114630
0.03160000 -22367.74887145 0.01114955
0.03200000 -22367.74883535 0.01114749
0.03240000 -22367.74877088 0.01117331
0.03280000 -22367.74872619 0.01117889
0.03320000 -22367.74866653 0.01119895
0.03360000 -22367.74862781 0.01119759
0.03400000 -22367.74859755 0.01118729
0.03440000 -22367.74855162 0.01119218
0.03480000 -22367.74847732 0.01122496
0.03520000 -22367.74842466 0.01123561
0.03560000 -22367.74836522 0.01125258
0.03600000 -22367.74829814 0.01127670
0.03640000 -22367.74825321 0.01127819
0.03680000 -22367.74821831 0.01126917
0.03720000 -22367.74813972 0.01130336
0.03760000 -22367.74808145 0.01131675
0.03800000 -22367.74800653 0.01134631
0.03840000 -22367.74797266 0.01133434
0.03880000 -22367.74791343 0.01134724
0.03920000 -22367.74784070 0.01137317
0.03960000 -22367.74779076 0.01137584
0.04000000 -22367.74774065 0.01137819
0.04040000 -22367.74765942 0.01141118
0.04080000 -22367.74762398 0.01139790
0.04120000 -22367.74754673 0.01142595
0.04160000 -22367.74747926 0.01144374
0.04200000 -22367.74740935 0.01146348
0.04240000 -22367.74735405 0.01146814
0.04280000 -22367.74727655 0.01149453
0.04320000 -22367.74724731 0.01147217
0.04360000 -22367.74715125 0.01151615
0.04400000 -22367.74710341 0.01151143
0.04440000 -22367.74701272 0.01154908
0.04480000 -22367.74695359 0.01155468
0.04520000 -22367.74688692 0.01156736
0.04560000 -22367.74684065 0.01155915
0.04600000 -22367.74677142 0.01157342
0.04640000 -22367.74668075 0.01160865
0.04680000 -22367.74660408 0.01162940
0.04720000 -22367.74651512 0.01166196
0.04760000 -22367.74645173 0.01166847
0.04800000 -22367.74640508 0.01165776
0.04840000 -22367.74631221 0.01169279
0.04880000 -22367.74623218 0.01171449
0.04920000 -22367.74616610 0.01172177
0.04960000 -22367.74606762 0.01176097
0.05000000 -22367.74602854 0.01174029
