# strain(%), energy_raw(eV), energy(eV)
0.00000100 -22367.76038233 0.00113651
0.00040000 -22367.76038525 0.00113335
0.00080000 -22367.76035723 0.00116065
0.00120000 -22367.76033025 0.00118643
0.00160000 -22367.76031763 0.00119736
0.00200000 -22367.76031477 0.00119807
0.00240000 -22367.76027110 0.00123910
0.00280000 -22367.76029147 0.00121560
0.00320000 -22367.76025138 0.00125210
0.00360000 -22367.76024870 0.00125070
0.00400000 -22367.76021093 0.00128391
0.00440000 -22367.76020277 0.00128702
0.00480000 -22367.76020374 0.00128054
0.00520000 -22367.76016527 0.00131301
0.00560000 -22367.76014989 0.00132190
0.00600000 -22367.76013357 0.00133127
0.00640000 -22367.76007812 0.00137928
0.00680000 -22367.76007067 0.00137881
0.00720000 -22367.76003797 0.00140311
0.00760000 -22367.76002141 0.00141079
0.00800000 -22367.76000253 0.00142031
0.00840000 -22367.75997031 0.00144269
0.00880000 -22367.75994854 0.00145413
0.00920000 -22367.75992940 0.00146248
0.00960000 -22367.75989996 0.00148064
0.01000000 -22367.75986252 0.00150632
0.01040000 -22367.75983179 0.00152481
0.01080000 -22367.75981527 0.00152861
0.01120000 -22367.75978130 0.00154938
0.01160000 -22367.75975892 0.00155808
0.01200000 -22367.75973155 0.00157129
0.01240000 -22367.75969448 0.00159372
0.01280000 -22367.75965810 0.00161498
0.01320000 -22367.75959913 0.00165835
0.01360000 -22367.75961171 0.00162969
0.01400000 -22367.75955063 0.00167421
0.01440000 -22367.75952078 0.00168702
0.01480000 -22367.75947597 0.00171431
0.01520000 -22367.75946819 0.00170409
0.01560000 -22367.75942684 0.00172696
0.01600000 -22367.75937412 0.00176072
0.01640000 -22367.75933919 0.00177621
0.01680000 -22367.75928344 0.00181204
0.01720000 -22367.75926119 0.00181389
0.01760000 -22367.75921876 0.00183544
0.01800000 -22367.75918624 0.00184660
0.01840000 -22367.75913457 0.00187643
0.01880000 -22367.75908691 0.00190177
0.01920000 -22367.75902223 0.00194365
0.01960000 -22367.75901352 0.00192908
0.02000000 -22367.75895168 0.00196715
0.02040000 -22367.75892875 0.00196585
0.02080000 -22367.75884387 0.00202601
0.02120000 -22367.75882729 0.00201739
0.02160000 -22367.75879103 0.00202797
0.02200000 -22367.75872269 0.00207015
0.02240000 -22367.75869878 0.00206742
0.02280000 -22367.75864352 0.00209555
0.02320000 -22367.75860677 0.00210471
0.02360000 -22367.75856461 0.00211879
0.02400000 -22367.75850710 0.00214774
0.02440000 -22367.75844805 0.00217774
0.02480000 -22367.75839961 0.00219666
0.02520000 -22367.75833152 0.00223476
0.02560000 -22367.75826332 0.00227248
0.02600000 -22367.75821132 0.00229352
0.02640000 -22367.75817815 0.00229525
0.02680000 -22367.75814902 0.00229246
0.02720000 -22367.75807051 0.00233857
0.02760000 -22367.75802265 0.00235354
0.02800000 -22367.75798533 0.00235751
0.02840000 -22367.75793312 0.00237588
0.02880000 -22367.75787082 0.00240386
0.02920000 -22367.75780675 0.00243312
0.02960000 -22367.75775736 0.00244724
0.03000000 -22367.75768141 0.00248743
0.03040000 -22367.75764607 0.00248653
0.03080000 -22367.75757424 0.00252163
0.03120000 -22367.75751678 0.00254190
0.03160000 -22367.75745382 0.00256717
0.03200000 -22367.75738585 0.00259698
0.03240000 -22367.75733178 0.00261242
0.03280000 -22367.75725886 0.00264622
0.03320000 -22367.75721898 0.00264650
0.03360000 -22367.75714248 0.00268292
0.03400000 -22367.75703792 0.00274692
0.03440000 -22367.75698819 0.00275561
0.03480000 -22367.75691976 0.00278252
0.03520000 -22367.75688232 0.00277796
0.03560000 -22367.75679302 0.00282477
0.03600000 -22367.75673465 0.00284019
0.03640000 -22367.75667167 0.00285973
0.03680000 -22367.75660799 0.00287949
0.03720000 -22367.75652166 0.00292142
0.03760000 -22367.75645604 0.00294216
0.03800000 -22367.75637869 0.00297415
0.03840000 -22367.75632220 0.00298480
0.03880000 -22367.75622891 0.00303177
0.03920000 -22367.75617656 0.00303732
0.03960000 -22367.75611368 0.00305292
0.04000000 -22367.75602991 0.00308892
0.04040000 -22367.75596446 0.00310613
0.04080000 -22367.75589621 0.00312567
0.04120000 -22367.75580178 0.00317090
0.04160000 -22367.75573090 0.00319210
0.04200000 -22367.75566225 0.00321058
0.04240000 -22367.75556756 0.00325464
0.04280000 -22367.75550768 0.00326340
0.04320000 -22367.75542545 0.00329403
0.04360000 -22367.75534840 0.00331900
0.04400000 -22367.75525029 0.00336455
0.04440000 -22367.75517969 0.00338210
0.04480000 -22367.75510117 0.00340711
0.04520000 -22367.75499714 0.00345714
0.04560000 -22367.75495378 0.00344602
0.04600000 -22367.75484419 0.00350064
0.04640000 -22367.75475811 0.00353129
0.04680000 -22367.75467118 0.00356229
0.04720000 -22367.75462008 0.00355700
0.04760000 -22367.75454311 0.00357709
0.04800000 -22367.75442673 0.00363611
0.04840000 -22367.75434003 0.00366497
0.04880000 -22367.75425786 0.00368881
0.04920000 -22367.75416230 0.00372558
0.04960000 -22367.75405838 0.00377022
0.05000000 -22367.75398164 0.00378720
0.05040000 -22367.75388817 0.00382043
0.05080000 -22367.75380267 0.00384521
0.05120000 -22367.75372581 0.00386087
0.05160000 -22367.75361556 0.00390944
0.05200000 -22367.75351963 0.00394321
0.05240000 -22367.75343607 0.00396413
0.05280000 -22367.75336943 0.00396765
0.05320000 -22367.75327031 0.00400317
0.05360000 -22367.75315363 0.00405577
0.05400000 -22367.75308411 0.00406072
0.05440000 -22367.75297268 0.00410712
0.05480000 -22367.75286511 0.00414917
0.05520000 -22367.75278885 0.00415942
0.05560000 -22367.75269537 0.00418643
0.05600000 -22367.75256414 0.00425070
0.05640000 -22367.75246449 0.00428291
0.05680000 -22367.75239284 0.00428664
0.05720000 -22367.75228537 0.00432570
0.05760000 -22367.75217338 0.00436882
0.05800000 -22367.75205489 0.00441795
0.05840000 -22367.75196883 0.00443417
0.05880000 -22367.75187460 0.00445808
0.05920000 -22367.75176656 0.00449531
0.05960000 -22367.75164111 0.00454949
0.06000000 -22367.75157163 0.00454721
0.06040000 -22367.75145125 0.00459535
0.06080000 -22367.75134900 0.00462488
0.06120000 -22367.75124394 0.00465674
0.06160000 -22367.75113415 0.00469285
0.06200000 -22367.75103977 0.00471307
0.06240000 -22367.75092861 0.00474958
0.06280000 -22367.75081504 0.00478803
0.06320000 -22367.75070914 0.00481834
0.06360000 -22367.75057131 0.00488009
0.06400000 -22367.75046625 0.00490858
0.06440000 -22367.75036772 0.00493008
0.06480000 -22367.75026569 0.00495459
0.06520000 -22367.75015443 0.00498785
0.06560000 -22367.75005579 0.00500801
0.06600000 -22367.74993376 0.00505108
0.06640000 -22367.74981294 0.00509246
0.06680000 -22367.74970006 0.00512542
0.06720000 -22367.74956831 0.00517676
0.06760000 -22367.74946697 0.00519723
0.06800000 -22367.74933777 0.00524507
0.06840000 -22367.74921117 0.00528982
0.06880000 -22367.74910818 0.00531050
0.06920000 -22367.74897959 0.00535629
0.06960000 -22367.74887759 0.00537501
0.07000000 -22367.74875418 0.00541466
0.07040000 -22367.74860671 0.00547789
0.07080000 -22367.74850021 0.00549967
0.07120000 -22367.74838180 0.00553287
0.07160000 -22367.74828086 0.00554814
0.07200000 -22367.74814322 0.00559961
0.07240000 -22367.74801874 0.00563746
0.07280000 -22367.74788989 0.00567919
0.07320000 -22367.74777647 0.00570501
0.07360000 -22367.74764457 0.00574883
0.07400000 -22367.74750474 0.00580010
0.07440000 -22367.74738840 0.00582740
0.07480000 -22367.74726630 0.00585998
0.07520000 -22367.74712514 0.00591113
0.07560000 -22367.74699596 0.00594984
0.07600000 -22367.74685556 0.00599928
0.07640000 -22367.74673892 0.00602448
0.07680000 -22367.74660594 0.00606554
0.07720000 -22367.74648489 0.00609418
0.07760000 -22367.74636242 0.00612378
0.07800000 -22367.74621826 0.00617458
0.07840000 -22367.74609327 0.00620572
0.07880000 -22367.74595197 0.00625271
0.07920000 -22367.74582013 0.00628974
0.07960000 -22367.74568052 0.00633407
0.08000000 -22367.74551019 0.00640865
0.08040000 -22367.74541920 0.00640340
0.08080000 -22367.74527356 0.00645232
0.08120000 -22367.74514079 0.00648789
0.08160000 -22367.74500802 0.00652298
0.08200000 -22367.74486159 0.00657125
0.08240000 -22367.74472945 0.00660474
