# strain(%), energy_raw(eV), energy(eV)
0.34160000 -22367.52430767 0.06217533
0.34200000 -22367.52373985 0.06233299
0.34240000 -22367.52322402 0.06243818
0.34280000 -22367.52268407 0.06256701
0.34320000 -22367.52214824 0.06269123
0.34360000 -22367.52160194 0.06282545
0.34400000 -22367.52106739 0.06294745
0.34440000 -22367.52051902 0.06308278
0.34480000 -22367.51999031 0.06319797
0.34520000 -22367.51946591 0.06330837
0.34560000 -22367.51892146 0.06343833
0.34600000 -22367.51836779 0.06357705
0.34640000 -22367.51784649 0.06368291
0.34680000 -22367.51731773 0.06379575
0.34720000 -22367.51675929 0.06393779
0.34760000 -22367.51623629 0.06404391
0.34800000 -22367.51569512 0.06416772
0.34840000 -22367.51514388 0.06430112
0.34880000 -22367.51460542 0.06442126
0.34920000 -22367.51407094 0.06453693
0.34960000 -22367.51352409 0.06466451
0.35000000 -22367.51298348 0.06478536
0.35040000 -22367.51244009 0.06490851
0.35080000 -22367.51192755 0.06500033
0.35120000 -22367.51135678 0.06514990
0.35160000 -22367.51080599 0.06527901
0.35200000 -22367.51025873 0.06540411
0.35240000 -22367.50969993 0.06554027
0.35280000 -22367.50916897 0.06564811
0.35320000 -22367.50862693 0.06576655
0.35360000 -22367.50807450 0.06589490
0.35400000 -22367.50753387 0.06601096
0.35440000 -22367.50698772 0.06613208
0.35480000 -22367.50643655 0.06625773
0.35520000 -22367.50588423 0.06638405
0.35560000 -22367.50533741 0.06650438
0.35600000 -22367.50478753 0.06662731
0.35640000 -22367.50424239 0.06674501
0.35680000 -22367.50369376 0.06686572
0.35720000 -22367.50312119 0.06700989
0.35760000 -22367.50258746 0.06711474
0.35800000 -22367.50202597 0.06724687
0.35840000 -22367.50147983 0.06736316
0.35880000 -22367.50093474 0.06747794
0.35920000 -22367.50036043 0.06762144
0.35960000 -22367.49978464 0.06776596
0.36000000 -22367.49925365 0.06786519
0.36040000 -22367.49870103 0.06798557
0.36080000 -22367.49815621 0.06809766
0.36120000 -22367.49758577 0.06823491
0.36160000 -22367.49703100 0.06835599
0.36200000 -22367.49647927 0.06847357
0.36240000 -22367.49588901 0.06862919
0.36280000 -22367.49536778 0.06871529
0.36320000 -22367.49477758 0.06886989
0.36360000 -22367.49424342 0.06896797
0.36400000 -22367.49367154 0.06910330
0.36440000 -22367.49309994 0.06923785
0.36480000 -22367.49254813 0.06935215
0.36520000 -22367.49196406 0.06949822
0.36560000 -22367.49142780 0.06959599
0.36600000 -22367.49086348 0.06972136
0.36640000 -22367.49029978 0.06984562
0.36680000 -22367.48972114 0.06998434
0.36720000 -22367.48914996 0.07011512
0.36760000 -22367.48860091 0.07022329
0.36800000 -22367.48803063 0.07035221
0.36840000 -22367.48745236 0.07048864
0.36880000 -22367.48686565 0.07063303
0.36920000 -22367.48632458 0.07073130
0.36960000 -22367.48575272 0.07085988
0.37000000 -22367.48517668 0.07099216
0.37040000 -22367.48459672 0.07112788
0.37080000 -22367.48405270 0.07122718
0.37120000 -22367.48345285 0.07138182
0.37160000 -22367.48289546 0.07149353
0.37200000 -22367.48232672 0.07161612
0.37240000 -22367.48175112 0.07174507
0.37280000 -22367.48118487 0.07186421
0.37320000 -22367.48059201 0.07200947
0.37360000 -22367.48002308 0.07213031
0.37400000 -22367.47944479 0.07226005
0.37440000 -22367.47889524 0.07236056
0.37480000 -22367.47829945 0.07250683
0.37520000 -22367.47773913 0.07261714
0.37560000 -22367.47716510 0.07274069
0.37600000 -22367.47655849 0.07289635
0.37640000 -22367.47597884 0.07302456
0.37680000 -22367.47540924 0.07314224
0.37720000 -22367.47479666 0.07330242
0.37760000 -22367.47423520 0.07341100
0.37800000 -22367.47367322 0.07351962
0.37840000 -22367.47308533 0.07365367
0.37880000 -22367.47248862 0.07379606
0.37920000 -22367.47190423 0.07392565
0.37960000 -22367.47133395 0.07404065
0.38000000 -22367.47075375 0.07416509
0.38040000 -22367.47014353 0.07431906
0.38080000 -22367.46956918 0.07443670
0.38120000 -22367.46899930 0.07454938
